id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
38,214.24,Underwear,Under Armour Briefs #38,Under Armour,467.47,Women,SKU-000038,9
39,20.97,Skirts,Patagonia Mini Skirts #39,Patagonia,59.94,Women,SKU-000039,2
40,115.8,Jeans,New Balance Straight Jeans #40,New Balance,328.96,Kids,SKU-000040,9
41,241.32,Jeans,Tommy Hilfiger Bootcut Jeans #41,Tommy Hilfiger,439.2,Men,SKU-000041,2
42,89.41,Underwear,North Face Boxers #42,North Face,270.72,Men,SKU-000042,8
43,68.82,Suits,Hollister Blazers #43,Hollister,204.61,Women,SKU-000043,7
44,137.67,Shirts & Tops,Banana Republic Casual Shirts #44,Banana Republic,389.12,Women,SKU-000044,5
45,35.8,Swim,Patagonia Swimwear #45,Patagonia,83.42,Men,SKU-000045,6
46,205.54,Tops & Tees,Under Armour Tank Tops #46,Under Armour,551.91,Men,SKU-000046,10
47,92.17,Tops & Tees,Tommy Hilfiger Blouses #47,Tommy Hilfiger,251.08,Women,SKU-000047,1
48,105.13,Underwear,Versace Briefs #48,Versace,296.86,Women,SKU-000048,4
49,44.31,Leggings,North Face Casual Leggings #49,North Face,126.64,Men,SKU-000049,3
50,156.35,Outerwear & Coats,Forever 21 Jackets #50,Forever 21,498.51,Women,SKU-000050,8
51,54.65,Leggings,Anthropologie Workout Leggings #51,Anthropologie,125.83,Men,SKU-000051,6
52,118.49,Underwear,UNIQLO Boxers #52,UNIQLO,341.88,Kids,SKU-000052,7
53,177.39,Socks,Reebok Ankle Socks #53,Reebok,482.59,Men,SKU-000053,3
54,175.92,Accessories,Banana Republic Hats #54,Banana Republic,383.1,Kids,SKU-000054,8
55,48.28,Skirts,Burberry Mini Skirts #55,Burberry,120.52,Men,SKU-000055,2
56,95.87,Blazers & Jackets,Hollister Blazers #56,Hollister,201.04,Men,SKU-000056,6
57,153.35,Underwear,Prada Briefs #57,Prada,474.67,Women,SKU-000057,1
58,155.76,Skirts,Columbia A-Line Skirts #58,Columbia,389.96,Kids,SKU-000058,3
59,62.69,Underwear,New Balance Briefs #59,New Balance,183.24,Men,SKU-000059,10
60,132.52,Sleep & Lounge,Banana Republic Robes #60,Banana Republic,298.88,Women,SKU-000060,5
61,176.7,Shirts & Tops,Columbia Casual Shirts #61,Columbia,508.23,Women,SKU-000061,5
62,177.68,Socks,Ralph Lauren Crew Socks #62,Ralph Lauren,385.32,Kids,SKU-000062,2
63,218.93,Active,Ralph Lauren Athletic Shorts #63,Ralph Lauren,662.02,Kids,SKU-000063,10
64,41.02,Jeans,Abercrombie Straight Jeans #64,Abercrombie,126.08,Men,SKU-000064,9
65,80.76,Active,Tommy Hilfiger Athletic Shorts #65,Tommy Hilfiger,252.61,Women,SKU-000065,6
66,123.8,Dresses,Wrangler Formal Dresses #66,Wrangler,342.56,Kids,SKU-000066,1
67,110.6,Outerwear & Coats,Tommy Hilfiger Coats #67,Tommy Hilfiger,343.69,Men,SKU-000067,4
68,220.97,Swim,Hollister Cover Ups #68,Hollister,574.18,Kids,SKU-000068,10
69,162.97,Shorts,Zara Athletic Shorts #69,Zara,426.31,Kids,SKU-000069,7
70,10.66,Active,Patagonia Sports Bras #70,Patagonia,21.72,Men,SKU-000070,4
71,182.97,Footwear,H&M Flats #71,H&M,399.01,Men,SKU-000071,2
72,143.08,Shorts,Reebok Bermuda Shorts #72,Reebok,285.42,Women,SKU-000072,10
73,56.6,Accessories,Zara Hats #73,Zara,104.13,Kids,SKU-000073,3
74,196.85,Sleep & Lounge,Adidas Robes #74,Adidas,380.14,Women,SKU-000074,8
75,145.19,Footwear,Gap Flats #75,Gap,405.31,Kids,SKU-000075,6
76,128.48,Suits,Calvin Klein Business Suits #76,Calvin Klein,356.14,Men,SKU-000076,1
77,177.05,Footwear,Prada Flats #77,Prada,391.31,Men,SKU-000077,7
78,207.05,Fashion Hoodies & Sweatshirts,Ralph Lauren Crewneck Sweatshirts #78,Ralph Lauren,439.91,Women,SKU-000078,4
79,217.3,Socks,Anthropologie Ankle Socks #79,Anthropologie,495.38,Kids,SKU-000079,10
80,142.56,Swim,Banana Republic Swimwear #80,Banana Republic,414.68,Men,SKU-000080,9
81,15.08,Accessories,Zara Hats #81,Zara,36.06,Women,SKU-000081,1
82,167.06,Jeans,American Eagle Bootcut Jeans #82,American Eagle,473.63,Men,SKU-000082,10
83,187.35,Swim,Prada Swimwear #83,Prada,400.99,Kids,SKU-000083,5
84,186.13,Shirts & Tops,Wrangler Casual Shirts #84,Wrangler,497.96,Men,SKU-000084,4
85,164.6,Outerwear & Coats,Banana Republic Coats #85,Banana Republic,511.81,Kids,SKU-000085,1
86,205.36,Blazers & Jackets,New Balance Blazers #86,New Balance,608.84,Kids,SKU-000086,2
87,169.28,Fashion Hoodies & Sweatshirts,Zara Hoodies #87,Zara,514.34,Men,SKU-000087,4
88,134.38,Sleep & Lounge,Calvin Klein Pajamas #88,Calvin Klein,312.66,Women,SKU-000088,9
89,202.37,Shirts & Tops,Zara Polo Shirts #89,Zara,371.99,Kids,SKU-000089,1
90,141.49,Accessories,Free People Belts #90,Free People,430.45,Kids,SKU-000090,10
91,39.41,Shorts,American Eagle Bermuda Shorts #91,American Eagle,117.29,Kids,SKU-000091,6
92,63.74,Blazers & Jackets,Anthropologie Leather Jackets #92,Anthropologie,146.65,Men,SKU-000092,5
93,153.4,Footwear,Anthropologie Sneakers #93,Anthropologie,422.5,Women,SKU-000093,6
94,133.23,Tops & Tees,Banana Republic Tank Tops #94,Banana Republic,286.26,Women,SKU-000094,10
95,167.57,Jeans,Ralph Lauren Skinny Jeans #95,Ralph Lauren,355.95,Women,SKU-000095,5
96,22.23,Underwear,Adidas Boxers #96,Adidas,59.74,Women,SKU-000096,10
97,153.77,Pants & Capris,Gucci Leggings #97,Gucci,406.28,Women,SKU-000097,1
98,192.94,Outerwear & Coats,Wrangler Vests #98,Wrangler,384.69,Men,SKU-000098,7
99,62.71,Underwear,Patagonia Boxers #99,Patagonia,196.35,Men,SKU-000099,2
100,122.8,Intimates,UNIQLO Underwear #100,UNIQLO,258.89,Kids,SKU-000100,9
101,205.91,Dresses,Versace Maxi Dresses #101,Versace,643.93,Men,SKU-000101,5
102,174.6,Fashion Hoodies & Sweatshirts,UNIQLO Hoodies #102,UNIQLO,455.2,Women,SKU-000102,7
103,93.74,Leggings,Calvin Klein Workout Leggings #103,Calvin Klein,214.02,Kids,SKU-000103,6
104,171.62,Dresses,Zara Mini Dresses #104,Zara,335.8,Women,SKU-000104,6
105,139.89,Tops & Tees,American Eagle Tank Tops #105,American Eagle,312.52,Men,SKU-000105,10
106,18.95,Accessories,Under Armour Bags #106,Under Armour,36.89,Men,SKU-000106,9
107,37.99,Blazers & Jackets,Forever 21 Blazers #107,Forever 21,73.84,Kids,SKU-000107,8
108,18.39,Blazers & Jackets,Patagonia Denim Jackets #108,Patagonia,41.97,Kids,SKU-000108,5
109,11.38,Underwear,Columbia Boxers #109,Columbia,36.18,Women,SKU-000109,3
110,182.16,Intimates,Tommy Hilfiger Lingerie #110,Tommy Hilfiger,386.43,Women,SKU-000110,8
111,18.42,Accessories,American Eagle Jewelry #111,American Eagle,37.03,Women,SKU-000111,10
112,205.3,Blazers & Jackets,Patagonia Blazers #112,Patagonia,498.32,Men,SKU-000112,6
113,118.51,Shirts & Tops,Burberry T-Shirts #113,Burberry,320.1,Women,SKU-000113,8
114,187.44,Underwear,American Eagle Briefs #114,American Eagle,391.93,Kids,SKU-000114,1
115,119.41,Dresses,Prada Mini Dresses #115,Prada,286.73,Women,SKU-000115,9
116,124.83,Underwear,H&M Boxers #116,H&M,297.73,Women,SKU-000116,2
117,146.39,Outerwear & Coats,Ralph Lauren Jackets #117,Ralph Lauren,410.46,Men,SKU-000117,9
118,240.68,Dresses,Patagonia Formal Dresses #118,Patagonia,748.86,Men,SKU-000118,7
119,151.49,Dresses,Columbia Mini Dresses #119,Columbia,426.52,Women,SKU-000119,10
120,23.4,Swim,UNIQLO Cover Ups #120,UNIQLO,51.9,Men,SKU-000120,6
121,190.05,Outerwear & Coats,Burberry Coats #121,Burberry,544.53,Women,SKU-000121,3
122,193.56,Active,Free People Athletic Shorts #122,Free People,444.31,Men,SKU-000122,7
123,147.97,Tops & Tees,Burberry Tank Tops #123,Burberry,452.51,Men,SKU-000123,6
124,83.78,Shorts,J.Crew Athletic Shorts #124,J.Crew,216.57,Women,SKU-000124,6
125,183.78,Swim,Under Armour Cover Ups #125,Under Armour,480.31,Kids,SKU-000125,5
126,148.54,Suits,H&M Business Suits #126,H&M,268.46,Men,SKU-000126,10
127,116.81,Accessories,Burberry Hats #127,Burberry,261.02,Kids,SKU-000127,3
128,127.38,Skirts,Versace Midi Skirts #128,Versace,292.97,Kids,SKU-000128,9
129,104.77,Swim,Banana Republic Cover Ups #129,Banana Republic,189.57,Men,SKU-000129,7
130,12.76,Socks,Reebok Crew Socks #130,Reebok,28.25,Men,SKU-000130,7
131,215.44,Accessories,Gucci Sunglasses #131,Gucci,577.7,Women,SKU-000131,3
132,49.23,Intimates,Patagonia Lingerie #132,Patagonia,100.66,Women,SKU-000132,3
133,205.17,Socks,Gap Crew Socks #133,Gap,576.52,Kids,SKU-000133,5
134,97.62,Jeans,Anthropologie Skinny Jeans #134,Anthropologie,220.02,Men,SKU-000134,2
135,149.58,Tops & Tees,Under Armour Crop Tops #135,Under Armour,367.94,Men,SKU-000135,2
136,151.36,Suits,Levi's Business Suits #136,Levi's,342.12,Kids,SKU-000136,6
137,81.72,Fashion Hoodies & Sweatshirts,J.Crew Hoodies #137,J.Crew,249.78,Kids,SKU-000137,4
138,158.69,Suits,Columbia Blazers #138,Columbia,419.6,Kids,SKU-000138,10
139,59.6,Pants & Capris,Columbia Shorts #139,Columbia,136.33,Men,SKU-000139,10
140,180.3,Suits,Levi's Business Suits #140,Levi's,489.19,Kids,SKU-000140,6
141,174.79,Pants & Capris,Nike Chinos #141,Nike,330.71,Kids,SKU-000141,2
142,117.09,Shorts,American Eagle Athletic Shorts #142,American Eagle,336.35,Kids,SKU-000142,2
143,108.7,Pants & Capris,Anthropologie Leggings #143,Anthropologie,227.61,Kids,SKU-000143,1
144,82.05,Sleep & Lounge,Free People Pajamas #144,Free People,148.03,Women,SKU-000144,6
145,156.52,Underwear,North Face Briefs #145,North Face,380.84,Women,SKU-000145,5
146,93.73,Swim,UNIQLO Swimwear #146,UNIQLO,233.11,Kids,SKU-000146,9
147,248.06,Outerwear & Coats,Free People Coats #147,Free People,570.7,Kids,SKU-000147,5
148,78.42,Dresses,Nike Mini Dresses #148,Nike,142.99,Kids,SKU-000148,9
149,50.81,Tops & Tees,Anthropologie Blouses #149,Anthropologie,136.07,Kids,SKU-000149,7
150,209.12,Suits,Columbia Blazers #150,Columbia,536.62,Women,SKU-000150,3
151,96.45,Suits,Adidas Blazers #151,Adidas,189.74,Kids,SKU-000151,2
152,117.21,Underwear,Columbia Boxers #152,Columbia,347.98,Women,SKU-000152,8
153,248.85,Intimates,Abercrombie Underwear #153,Abercrombie,676.95,Kids,SKU-000153,1
154,108.82,Jeans,Free People Skinny Jeans #154,Free People,237.86,Kids,SKU-000154,4
155,69.33,Active,Gap Sports Bras #155,Gap,208.49,Kids,SKU-000155,4
156,149.05,Jeans,Gucci Bootcut Jeans #156,Gucci,344.35,Men,SKU-000156,3
157,174.83,Shorts,J.Crew Athletic Shorts #157,J.Crew,457.4,Women,SKU-000157,3
158,32.05,Accessories,Patagonia Sunglasses #158,Patagonia,74.5,Kids,SKU-000158,10
159,213.48,Footwear,Burberry Sneakers #159,Burberry,577.04,Women,SKU-000159,8
160,46.58,Skirts,Nike Mini Skirts #160,Nike,98.54,Women,SKU-000160,2
161,191.89,Accessories,Free People Bags #161,Free People,414.93,Kids,SKU-000161,10
162,238.11,Jeans,H&M Bootcut Jeans #162,H&M,585.05,Men,SKU-000162,5
163,142.8,Underwear,Anthropologie Briefs #163,Anthropologie,442.42,Women,SKU-000163,7
164,143.94,Outerwear & Coats,Puma Jackets #164,Puma,362.25,Men,SKU-000164,5
165,137.45,Sleep & Lounge,Calvin Klein Pajamas #165,Calvin Klein,338.54,Kids,SKU-000165,9
166,131.39,Shorts,H&M Bermuda Shorts #166,H&M,352.37,Kids,SKU-000166,2
167,200.11,Shirts & Tops,Calvin Klein Polo Shirts #167,Calvin Klein,531.12,Women,SKU-000167,3
168,62.61,Outerwear & Coats,H&M Jackets #168,H&M,136.85,Men,SKU-000168,8
169,40.42,Intimates,Under Armour Lingerie #169,Under Armour,101.23,Women,SKU-000169,10
170,129.92,Skirts,Calvin Klein Mini Skirts #170,Calvin Klein,371.99,Kids,SKU-000170,10
171,237.14,Swim,Forever 21 Swimwear #171,Forever 21,484.18,Kids,SKU-000171,1
172,79.78,Leggings,Gap Workout Leggings #172,Gap,201.58,Women,SKU-000172,4
173,131.15,Suits,Patagonia Business Suits #173,Patagonia,397.05,Men,SKU-000173,9
174,148.6,Shirts & Tops,Anthropologie Casual Shirts #174,Anthropologie,366.47,Men,SKU-000174,1
175,247.95,Tops & Tees,Wrangler Blouses #175,Wrangler,651.53,Men,SKU-000175,1
176,37.61,Dresses,Ralph Lauren Formal Dresses #176,Ralph Lauren,107.97,Women,SKU-000176,8
177,208.15,Swim,New Balance Swimwear #177,New Balance,661.57,Kids,SKU-000177,2
178,72.56,Socks,Puma Ankle Socks #178,Puma,156.76,Kids,SKU-000178,4
179,120.88,Swim,J.Crew Cover Ups #179,J.Crew,246.45,Kids,SKU-000179,2
180,230.82,Shorts,Calvin Klein Bermuda Shorts #180,Calvin Klein,583.69,Women,SKU-000180,4
181,16.48,Skirts,Gap A-Line Skirts #181,Gap,44.16,Women,SKU-000181,6
182,124.19,Accessories,Free People Jewelry #182,Free People,296.3,Kids,SKU-000182,6
183,27.64,Tops & Tees,Gap Tank Tops #183,Gap,86.63,Women,SKU-000183,1
184,130.97,Swim,Gap Cover Ups #184,Gap,409.02,Women,SKU-000184,3
185,97.49,Footwear,Under Armour Sneakers #185,Under Armour,214.31,Kids,SKU-000185,6
186,36.33,Outerwear & Coats,Levi's Coats #186,Levi's,103.86,Kids,SKU-000186,4
187,30.69,Suits,North Face Business Suits #187,North Face,66.88,Women,SKU-000187,10
188,244.81,Jeans,Free People Bootcut Jeans #188,Free People,742.92,Kids,SKU-000188,10
189,205.86,Suits,Columbia Business Suits #189,Columbia,394.36,Women,SKU-000189,9
190,67.86,Tops & Tees,Columbia Crop Tops #190,Columbia,147.95,Kids,SKU-000190,10
191,77.21,Footwear,Levi's Flats #191,Levi's,230.06,Men,SKU-000191,1
192,247.95,Tops & Tees,Tommy Hilfiger Tank Tops #192,Tommy Hilfiger,681.97,Men,SKU-000192,8
193,68.0,Active,Calvin Klein Athletic Shorts #193,Calvin Klein,122.58,Kids,SKU-000193,5
194,78.76,Jeans,H&M Straight Jeans #194,H&M,175.42,Men,SKU-000194,6
195,200.56,Shorts,Reebok Athletic Shorts #195,Reebok,568.58,Women,SKU-000195,3
196,190.27,Suits,Banana Republic Business Suits #196,Banana Republic,484.77,Kids,SKU-000196,7
197,221.77,Tops & Tees,Gucci Tank Tops #197,Gucci,588.69,Women,SKU-000197,1
198,232.47,Footwear,Zara Boots #198,Zara,514.05,Men,SKU-000198,2
199,177.21,Socks,Calvin Klein Crew Socks #199,Calvin Klein,472.16,Men,SKU-000199,8
200,155.74,Suits,Reebok Blazers #200,Reebok,386.66,Women,SKU-000200,8
201,249.67,Accessories,J.Crew Sunglasses #201,J.Crew,537.27,Women,SKU-000201,3
202,248.91,Dresses,H&M Maxi Dresses #202,H&M,786.3,Women,SKU-000202,1
203,72.39,Outerwear & Coats,Wrangler Vests #203,Wrangler,140.23,Women,SKU-000203,5
204,243.79,Shorts,Gap Bermuda Shorts #204,Gap,730.8,Women,SKU-000204,3
205,151.8,Swim,Ralph Lauren Cover Ups #205,Ralph Lauren,346.67,Women,SKU-000205,8
206,62.87,Swim,UNIQLO Swimwear #206,UNIQLO,133.83,Men,SKU-000206,10
207,60.4,Fashion Hoodies & Sweatshirts,Under Armour Crewneck Sweatshirts #207,Under Armour,140.25,Women,SKU-000207,2
208,51.35,Intimates,Gucci Lingerie #208,Gucci,138.45,Kids,SKU-000208,6
209,223.67,Active,Free People Yoga Pants #209,Free People,648.6,Kids,SKU-000209,7
210,152.89,Socks,Zara Crew Socks #210,Zara,446.46,Kids,SKU-000210,6
211,133.21,Shirts & Tops,Adidas Polo Shirts #211,Adidas,382.49,Kids,SKU-000211,10
212,228.42,Sleep & Lounge,Reebok Pajamas #212,Reebok,666.67,Women,SKU-000212,10
213,34.43,Underwear,Gap Briefs #213,Gap,101.4,Kids,SKU-000213,9
214,5.51,Socks,Levi's Ankle Socks #214,Levi's,11.89,Kids,SKU-000214,4
215,203.64,Sleep & Lounge,Gucci Robes #215,Gucci,422.28,Women,SKU-000215,5
216,193.32,Sleep & Lounge,Banana Republic Robes #216,Banana Republic,468.36,Women,SKU-000216,1
217,170.37,Footwear,Abercrombie Sneakers #217,Abercrombie,358.12,Kids,SKU-000217,5
218,207.85,Accessories,American Eagle Hats #218,American Eagle,656.72,Women,SKU-000218,1
219,171.77,Intimates,North Face Lingerie #219,North Face,541.44,Women,SKU-000219,8
220,59.28,Socks,Versace Crew Socks #220,Versace,131.05,Women,SKU-000220,4
221,200.11,Intimates,Reebok Lingerie #221,Reebok,499.7,Kids,SKU-000221,3
222,63.58,Tops & Tees,Puma Tank Tops #222,Puma,165.43,Kids,SKU-000222,1
223,25.47,Shorts,Anthropologie Bermuda Shorts #223,Anthropologie,78.11,Women,SKU-000223,6
224,246.24,Shorts,Free People Athletic Shorts #224,Free People,460.42,Kids,SKU-000224,5
225,48.89,Shirts & Tops,Reebok Polo Shirts #225,Reebok,140.38,Kids,SKU-000225,5
226,48.24,Tops & Tees,Patagonia Crop Tops #226,Patagonia,89.35,Men,SKU-000226,7
227,204.95,Sleep & Lounge,Prada Pajamas #227,Prada,523.98,Women,SKU-000227,2
228,146.18,Pants & Capris,Puma Shorts #228,Puma,284.97,Kids,SKU-000228,7
229,220.41,Active,Free People Sports Bras #229,Free People,411.65,Women,SKU-000229,6
230,119.36,Footwear,Nike Sandals #230,Nike,279.99,Women,SKU-000230,2
231,38.72,Accessories,H&M Belts #231,H&M,115.43,Men,SKU-000231,6
232,57.82,Pants & Capris,Adidas Jeans #232,Adidas,173.71,Women,SKU-000232,9
233,63.59,Active,UNIQLO Athletic Shorts #233,UNIQLO,183.79,Men,SKU-000233,8
234,243.03,Socks,UNIQLO Ankle Socks #234,UNIQLO,715.45,Men,SKU-000234,2
235,128.22,Fashion Hoodies & Sweatshirts,Hollister Crewneck Sweatshirts #235,Hollister,386.21,Men,SKU-000235,4
236,150.1,Swim,H&M Swimwear #236,H&M,286.53,Women,SKU-000236,3
237,243.17,Outerwear & Coats,Forever 21 Coats #237,Forever 21,550.12,Men,SKU-000237,2
238,132.72,Pants & Capris,Patagonia Chinos #238,Patagonia,244.71,Kids,SKU-000238,4
239,42.46,Pants & Capris,Levi's Jeans #239,Levi's,102.62,Men,SKU-000239,6
240,169.98,Swim,Hollister Cover Ups #240,Hollister,438.51,Men,SKU-000240,3
241,146.06,Active,UNIQLO Sports Bras #241,UNIQLO,329.57,Women,SKU-000241,7
242,59.52,Suits,Puma Blazers #242,Puma,113.54,Men,SKU-000242,10
243,225.35,Pants & Capris,Prada Leggings #243,Prada,706.03,Men,SKU-000243,1
244,91.97,Outerwear & Coats,Gucci Coats #244,Gucci,261.84,Women,SKU-000244,5
245,247.1,Dresses,Under Armour Mini Dresses #245,Under Armour,533.22,Women,SKU-000245,7
246,46.0,Blazers & Jackets,J.Crew Denim Jackets #246,J.Crew,141.5,Women,SKU-000246,8
247,162.78,Jeans,Puma Skinny Jeans #247,Puma,427.01,Men,SKU-000247,5
248,77.09,Active,Gap Athletic Shorts #248,Gap,220.44,Women,SKU-000248,1
249,68.88,Active,Hollister Yoga Pants #249,Hollister,219.22,Men,SKU-000249,6
250,17.89,Tops & Tees,Under Armour Crop Tops #250,Under Armour,39.01,Kids,SKU-000250,8
251,163.47,Pants & Capris,Adidas Shorts #251,Adidas,360.63,Kids,SKU-000251,9
252,21.93,Underwear,Free People Briefs #252,Free People,52.62,Women,SKU-000252,2
253,62.47,Active,UNIQLO Athletic Shorts #253,UNIQLO,189.77,Men,SKU-000253,10
254,28.49,Active,Free People Sports Bras #254,Free People,80.88,Women,SKU-000254,6
255,27.88,Footwear,Tommy Hilfiger Boots #255,Tommy Hilfiger,51.08,Women,SKU-000255,5
256,244.05,Outerwear & Coats,Under Armour Vests #256,Under Armour,460.07,Kids,SKU-000256,9
257,202.13,Skirts,Nike A-Line Skirts #257,Nike,432.02,Kids,SKU-000257,9
258,237.11,Active,Reebok Athletic Shorts #258,Reebok,501.29,Kids,SKU-000258,5
259,114.84,Suits,North Face Blazers #259,North Face,329.79,Kids,SKU-000259,8
260,90.61,Sleep & Lounge,Tommy Hilfiger Robes #260,Tommy Hilfiger,200.2,Women,SKU-000260,3
261,57.18,Sleep & Lounge,J.Crew Pajamas #261,J.Crew,145.37,Men,SKU-000261,8
262,148.37,Suits,Reebok Blazers #262,Reebok,369.83,Men,SKU-000262,9
263,223.01,Suits,Hollister Business Suits #263,Hollister,542.89,Kids,SKU-000263,7
264,61.98,Shorts,American Eagle Bermuda Shorts #264,American Eagle,177.46,Men,SKU-000264,2
265,241.04,Suits,New Balance Business Suits #265,New Balance,610.17,Men,SKU-000265,10
266,212.3,Footwear,H&M Sandals #266,H&M,648.22,Women,SKU-000266,4
267,22.4,Dresses,Burberry Maxi Dresses #267,Burberry,62.71,Men,SKU-000267,10
268,46.91,Underwear,Under Armour Boxers #268,Under Armour,113.28,Men,SKU-000268,2
269,183.41,Intimates,J.Crew Bras & Bralettes #269,J.Crew,490.03,Women,SKU-000269,6
270,23.07,Underwear,Forever 21 Briefs #270,Forever 21,66.28,Men,SKU-000270,8
271,54.96,Active,Adidas Athletic Shorts #271,Adidas,112.87,Men,SKU-000271,10
272,172.58,Socks,Zara Ankle Socks #272,Zara,315.51,Women,SKU-000272,5
273,157.34,Tops & Tees,Tommy Hilfiger Tank Tops #273,Tommy Hilfiger,389.47,Women,SKU-000273,10
274,56.78,Tops & Tees,Wrangler Blouses #274,Wrangler,141.4,Women,SKU-000274,9
275,59.42,Intimates,Columbia Underwear #275,Columbia,165.95,Kids,SKU-000275,9
276,240.27,Sleep & Lounge,Adidas Robes #276,Adidas,585.9,Women,SKU-000276,4
277,11.85,Swim,Banana Republic Swimwear #277,Banana Republic,28.96,Men,SKU-000277,9
278,149.81,Footwear,Abercrombie Flats #278,Abercrombie,385.41,Men,SKU-000278,8
279,30.87,Socks,Forever 21 Ankle Socks #279,Forever 21,73.55,Kids,SKU-000279,10
280,46.5,Accessories,Prada Sunglasses #280,Prada,103.85,Kids,SKU-000280,1
281,161.13,Pants & Capris,Nike Jeans #281,Nike,495.79,Men,SKU-000281,8
282,150.63,Shorts,Adidas Athletic Shorts #282,Adidas,368.55,Women,SKU-000282,2
283,159.28,Leggings,Levi's Workout Leggings #283,Levi's,440.36,Men,SKU-000283,7
284,138.32,Jeans,UNIQLO Bootcut Jeans #284,UNIQLO,322.16,Women,SKU-000284,1
285,203.64,Leggings,Hollister Casual Leggings #285,Hollister,378.25,Women,SKU-000285,8
286,230.21,Swim,H&M Swimwear #286,H&M,656.19,Women,SKU-000286,3
287,142.1,Shirts & Tops,Banana Republic T-Shirts #287,Banana Republic,299.18,Men,SKU-000287,10
288,13.76,Swim,H&M Cover Ups #288,H&M,42.54,Kids,SKU-000288,2
289,143.74,Fashion Hoodies & Sweatshirts,J.Crew Hoodies #289,J.Crew,417.65,Men,SKU-000289,10
290,229.39,Shirts & Tops,Hollister T-Shirts #290,Hollister,553.04,Men,SKU-000290,9
291,74.0,Shorts,Adidas Bermuda Shorts #291,Adidas,164.79,Women,SKU-000291,2
292,141.87,Skirts,Abercrombie Mini Skirts #292,Abercrombie,403.08,Women,SKU-000292,6
