order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,order_total
44,4526,Shipped,M,2023-12-20 10:06:40,,2023-12-22 10:06:40,2023-12-26 10:06:40,1,281.3
45,5014,Processing,M,2024-11-02 04:53:32,,,,2,725.2
46,744,Cancelled,M,2023-04-25 12:11:46,,,,2,816.46
47,3311,Complete,M,2022-12-22 22:52:28,,2022-12-23 22:52:28,2022-12-27 22:52:28,5,1366.99
48,9475,Processing,F,2023-09-22 22:06:02,,,,1,476.13
49,5218,Complete,M,2024-03-26 04:42:41,,2024-03-29 04:42:41,2024-04-02 04:42:41,1,67.48
50,166,Complete,F,2023-03-28 04:51:36,,2023-03-31 04:51:36,2023-04-02 04:51:36,1,108.4
51,8486,Processing,F,2024-06-27 04:13:13,,,,3,692.92
52,4715,Shipped,M,2021-04-02 18:00:23,,2021-04-05 18:00:23,2021-04-12 18:00:23,3,496.04
53,1368,Complete,F,2024-01-27 12:35:49,,2024-01-28 12:35:49,2024-02-02 12:35:49,4,1054.71
54,5714,Complete,F,2024-01-03 08:39:07,,2024-01-04 08:39:07,2024-01-09 08:39:07,5,1844.43
55,9608,Returned,F,2024-06-03 21:04:07,2024-07-09 21:04:07,2024-06-05 21:04:07,2024-06-12 21:04:07,2,590.02
56,1191,Complete,M,2024-02-14 14:02:45,,2024-02-15 14:02:45,2024-02-22 14:02:45,2,665.02
57,8764,Complete,F,2024-01-05 23:12:56,,2024-01-08 23:12:56,2024-01-14 23:12:56,3,655.08
58,3691,Complete,F,2022-06-30 11:03:05,,2022-07-03 11:03:05,2022-07-08 11:03:05,2,516.28
59,2136,Complete,F,2024-12-26 18:33:05,,2024-12-27 18:33:05,2025-01-01 18:33:05,1,202.12
60,3180,Complete,F,2023-05-04 11:00:20,,2023-05-05 11:00:20,2023-05-11 11:00:20,6,2007.63
61,8734,Returned,M,2023-04-09 02:06:34,2023-05-09 02:06:34,2023-04-11 02:06:34,2023-04-17 02:06:34,1,188.17
62,714,Complete,F,2023-01-14 15:21:33,,2023-01-16 15:21:33,2023-01-21 15:21:33,3,1042.88
63,1019,Cancelled,F,2024-11-09 21:59:26,,,,1,239.89
64,7729,Returned,F,2024-03-01 17:29:26,2024-03-18 17:29:26,2024-03-02 17:29:26,2024-03-05 17:29:26,1,74.68
65,3748,Complete,M,2023-04-08 02:01:24,,2023-04-10 02:01:24,2023-04-13 02:01:24,2,500.26
66,2935,Shipped,M,2022-01-02 23:06:21,,2022-01-05 23:06:21,2022-01-10 23:06:21,1,327.09
67,1230,Complete,F,2023-12-23 14:28:37,,2023-12-26 14:28:37,2023-12-28 14:28:37,3,886.57
68,1245,Returned,M,2024-08-07 21:44:00,2024-08-18 21:44:00,2024-08-10 21:44:00,2024-08-12 21:44:00,4,644.88
69,4723,Complete,F,2022-08-12 07:21:06,,2022-08-14 07:21:06,2022-08-20 07:21:06,4,1131.42
70,410,Complete,F,2023-01-21 21:41:11,,2023-01-24 21:41:11,2023-01-30 21:41:11,1,474.33
71,3658,Shipped,F,2021-06-20 17:50:29,,2021-06-22 17:50:29,2021-06-27 17:50:29,5,1590.59
72,5126,Complete,M,2024-09-12 18:22:51,,2024-09-14 18:22:51,2024-09-21 18:22:51,1,502.24
73,8950,Complete,F,2024-01-19 06:27:51,,2024-01-20 06:27:51,2024-01-27 06:27:51,2,401.98
74,4955,Complete,M,2024-01-24 04:18:40,,2024-01-26 04:18:40,2024-02-01 04:18:40,1,360.0
75,9422,Shipped,M,2023-06-26 22:20:38,,2023-06-29 22:20:38,2023-07-05 22:20:38,3,414.63
76,3341,Complete,F,2022-03-08 22:59:52,,2022-03-10 22:59:52,2022-03-12 22:59:52,2,367.47
77,7624,Complete,F,2023-03-31 14:17:08,,2023-04-01 14:17:08,2023-04-05 14:17:08,3,1079.85
78,7359,Complete,F,2020-04-01 20:37:49,,2020-04-04 20:37:49,2020-04-09 20:37:49,2,560.53
79,7145,Returned,M,2024-08-19 12:10:12,2024-08-30 12:10:12,2024-08-22 12:10:12,2024-08-25 12:10:12,3,1045.21
80,3507,Complete,M,2023-12-22 08:16:18,,2023-12-24 08:16:18,2023-12-29 08:16:18,4,626.38
81,2242,Cancelled,F,2023-04-01 21:25:10,,,,3,766.38
82,2043,Complete,F,2023-04-10 07:49:04,,2023-04-13 07:49:04,2023-04-20 07:49:04,1,280.56
83,5841,Complete,M,2022-09-14 10:02:07,,2022-09-16 10:02:07,2022-09-22 10:02:07,1,115.55
84,3227,Complete,M,2022-09-20 20:03:37,,2022-09-22 20:03:37,2022-09-29 20:03:37,3,562.49
85,3085,Complete,M,2022-10-31 17:15:44,,2022-11-02 17:15:44,2022-11-08 17:15:44,3,559.08
86,4570,Returned,F,2022-11-19 07:12:51,2022-12-12 07:12:51,2022-11-22 07:12:51,2022-11-25 07:12:51,3,1401.31
87,5361,Complete,F,2024-11-25 18:49:09,,2024-11-28 18:49:09,2024-11-30 18:49:09,5,1648.2
88,7012,Shipped,M,2023-05-10 02:09:23,,2023-05-11 02:09:23,2023-05-17 02:09:23,1,403.39
89,6988,Complete,F,2023-10-09 18:32:23,,2023-10-10 18:32:23,2023-10-17 18:32:23,1,249.11
90,2335,Processing,M,2022-01-04 15:12:33,,,,4,1505.35
91,6327,Complete,M,2024-09-08 13:01:17,,2024-09-11 13:01:17,2024-09-18 13:01:17,2,343.51
92,8789,Complete,M,2024-06-06 14:43:00,,2024-06-09 14:43:00,2024-06-11 14:43:00,3,311.41
93,3708,Complete,M,2024-03-02 04:08:13,,2024-03-03 04:08:13,2024-03-09 04:08:13,2,523.4
94,203,Shipped,F,2023-05-15 11:31:26,,2023-05-18 11:31:26,2023-05-25 11:31:26,1,466.98
95,4102,Shipped,F,2024-04-16 13:17:16,,2024-04-19 13:17:16,2024-04-25 13:17:16,2,223.46
96,9209,Cancelled,M,2024-06-17 23:37:48,,,,2,629.05
97,2259,Complete,F,2024-09-27 16:28:02,,2024-09-28 16:28:02,2024-10-01 16:28:02,2,721.96
98,6577,Complete,M,2024-12-30 20:12:43,,2025-01-01 20:12:43,2025-01-04 20:12:43,6,1727.53
99,2820,Complete,M,2022-03-31 12:03:56,,2022-04-02 12:03:56,2022-04-07 12:03:56,2,767.25
100,6935,Complete,M,2023-10-10 14:46:50,,2023-10-11 14:46:50,2023-10-18 14:46:50,1,360.64
101,1699,Processing,M,2022-04-04 09:50:09,,,,2,502.32
102,4485,Processing,F,2023-11-10 03:16:32,,,,3,400.83
103,8627,Complete,F,2021-05-25 06:36:35,,2021-05-28 06:36:35,2021-06-03 06:36:35,1,410.84
104,8527,Complete,F,2024-11-22 22:26:00,,2024-11-25 22:26:00,2024-11-27 22:26:00,1,359.35
105,3208,Complete,M,2024-05-14 17:56:06,,2024-05-17 17:56:06,2024-05-24 17:56:06,3,753.49
106,7958,Complete,F,2022-11-05 17:27:50,,2022-11-06 17:27:50,2022-11-10 17:27:50,6,1337.47
107,242,Complete,M,2023-12-23 22:56:18,,2023-12-25 22:56:18,2023-12-27 22:56:18,2,216.83
108,6513,Processing,M,2023-12-22 02:16:14,,,,1,354.25
109,3306,Complete,M,2023-07-24 20:55:58,,2023-07-25 20:55:58,2023-07-30 20:55:58,5,1079.96
110,6765,Complete,F,2022-09-20 20:20:12,,2022-09-21 20:20:12,2022-09-24 20:20:12,1,141.11
111,7690,Complete,M,2024-07-14 22:33:20,,2024-07-16 22:33:20,2024-07-21 22:33:20,1,346.66
112,331,Returned,F,2024-08-11 01:22:16,2024-09-02 01:22:16,2024-08-12 01:22:16,2024-08-14 01:22:16,2,825.26
113,1894,Complete,F,2024-04-11 06:02:10,,2024-04-12 06:02:10,2024-04-17 06:02:10,1,95.48
114,7203,Complete,M,2020-09-11 19:23:18,,2020-09-12 19:23:18,2020-09-18 19:23:18,1,142.51
115,9982,Shipped,M,2020-12-01 02:49:37,,2020-12-04 02:49:37,2020-12-06 02:49:37,3,1113.84
116,1644,Returned,M,2023-12-23 08:36:11,2024-02-01 08:36:11,2023-12-26 08:36:11,2024-01-02 08:36:11,2,698.77
117,6230,Complete,M,2024-05-30 19:51:08,,2024-06-02 19:51:08,2024-06-04 19:51:08,6,1728.67
118,7693,Returned,F,2021-10-09 10:45:56,2021-10-31 10:45:56,2021-10-12 10:45:56,2021-10-15 10:45:56,1,388.39
119,3078,Complete,F,2022-09-20 19:06:48,,2022-09-21 19:06:48,2022-09-24 19:06:48,1,250.3
120,6148,Processing,F,2024-07-05 18:40:05,,,,2,520.8
121,7300,Complete,F,2022-11-30 04:57:49,,2022-12-02 04:57:49,2022-12-06 04:57:49,1,506.52
122,4887,Shipped,M,2021-09-28 20:26:40,,2021-09-29 20:26:40,2021-10-06 20:26:40,4,638.58
123,5511,Processing,M,2024-07-24 16:30:37,,,,5,1039.9
124,939,Complete,F,2024-08-01 13:58:09,,2024-08-03 13:58:09,2024-08-08 13:58:09,1,84.0
125,9744,Cancelled,M,2021-10-19 13:47:19,,,,2,607.96
126,7348,Complete,F,2023-03-14 03:38:37,,2023-03-15 03:38:37,2023-03-19 03:38:37,2,416.75
127,6493,Complete,F,2023-07-26 19:30:20,,2023-07-29 19:30:20,2023-07-31 19:30:20,1,321.17
128,707,Complete,F,2020-08-13 06:53:34,,2020-08-16 06:53:34,2020-08-18 06:53:34,1,444.55
129,7006,Returned,F,2024-07-29 10:11:29,2024-08-27 10:11:29,2024-07-31 10:11:29,2024-08-06 10:11:29,2,677.63
130,9155,Complete,F,2023-08-04 12:19:24,,2023-08-07 12:19:24,2023-08-14 12:19:24,1,31.74
131,1763,Complete,M,2023-01-18 22:19:39,,2023-01-21 22:19:39,2023-01-27 22:19:39,2,121.68
132,9837,Complete,F,2022-12-21 16:18:27,,2022-12-24 16:18:27,2022-12-27 16:18:27,1,133.95
133,84,Shipped,F,2024-11-28 04:25:15,,2024-11-30 04:25:15,2024-12-06 04:25:15,4,897.47
134,542,Complete,F,2023-03-22 11:52:23,,2023-03-24 11:52:23,2023-03-31 11:52:23,1,386.76
135,4508,Complete,M,2024-08-11 21:48:07,,2024-08-12 21:48:07,2024-08-15 21:48:07,4,1778.3
136,2922,Shipped,F,2022-06-25 21:19:14,,2022-06-26 21:19:14,2022-07-01 21:19:14,1,218.16
137,986,Complete,M,2022-02-24 07:22:57,,2022-02-25 07:22:57,2022-03-01 07:22:57,1,256.65
138,19,Complete,F,2024-05-24 11:50:28,,2024-05-27 11:50:28,2024-06-03 11:50:28,5,1122.36
139,2183,Complete,F,2024-08-19 16:50:41,,2024-08-20 16:50:41,2024-08-27 16:50:41,1,23.47
140,3244,Complete,M,2024-11-19 00:41:37,,2024-11-22 00:41:37,2024-11-25 00:41:37,2,960.32
141,7304,Complete,F,2022-08-23 16:17:39,,2022-08-24 16:17:39,2022-08-29 16:17:39,2,224.78
142,2042,Processing,F,2023-11-11 17:35:46,,,,1,360.73
143,4143,Complete,M,2024-11-29 04:38:23,,2024-12-01 04:38:23,2024-12-05 04:38:23,1,63.36
144,6440,Returned,F,2022-01-01 13:19:59,2022-01-09 13:19:59,2022-01-02 13:19:59,2022-01-06 13:19:59,1,124.15
145,2103,Complete,F,2023-02-01 23:08:35,,2023-02-03 23:08:35,2023-02-06 23:08:35,2,431.62
146,2613,Complete,M,2022-07-20 02:20:34,,2022-07-22 02:20:34,2022-07-27 02:20:34,1,88.25
147,3570,Complete,M,2023-08-15 22:01:59,,2023-08-18 22:01:59,2023-08-20 22:01:59,3,1262.14
148,2651,Returned,M,2021-12-13 13:09:26,2021-12-22 13:09:26,2021-12-16 13:09:26,2021-12-21 13:09:26,3,1288.18
149,1770,Cancelled,F,2023-02-25 19:48:11,,,,2,260.57
150,5060,Complete,M,2024-04-20 01:55:43,,2024-04-21 01:55:43,2024-04-25 01:55:43,2,615.87
151,3021,Complete,F,2024-08-31 15:51:47,,2024-09-02 15:51:47,2024-09-06 15:51:47,1,246.33
152,3022,Cancelled,M,2023-08-08 11:00:14,,,,4,965.35
153,6617,Returned,M,2022-10-15 12:00:50,2022-11-14 12:00:50,2022-10-16 12:00:50,2022-10-21 12:00:50,2,541.85
154,4535,Shipped,M,2024-11-10 11:19:33,,2024-11-11 11:19:33,2024-11-13 11:19:33,1,161.52
155,2200,Returned,M,2022-05-14 23:41:47,2022-05-25 23:41:47,2022-05-16 23:41:47,2022-05-18 23:41:47,3,1117.9
156,8197,Complete,M,2022-07-25 03:46:16,,2022-07-27 03:46:16,2022-07-29 03:46:16,2,773.0
157,150,Complete,F,2024-02-14 04:10:25,,2024-02-16 04:10:25,2024-02-21 04:10:25,3,416.05
158,8686,Complete,F,2022-08-19 18:30:24,,2022-08-22 18:30:24,2022-08-24 18:30:24,2,513.68
159,9840,Complete,M,2022-01-15 02:19:51,,2022-01-16 02:19:51,2022-01-23 02:19:51,3,953.26
160,6177,Complete,M,2024-04-04 10:48:31,,2024-04-07 10:48:31,2024-04-10 10:48:31,3,1047.53
161,9920,Returned,F,2024-01-09 23:38:51,2024-01-18 23:38:51,2024-01-10 23:38:51,2024-01-15 23:38:51,6,2005.93
162,8201,Complete,F,2021-01-07 12:34:35,,2021-01-10 12:34:35,2021-01-12 12:34:35,2,532.01
163,7922,Complete,M,2024-07-26 11:29:49,,2024-07-29 11:29:49,2024-08-04 11:29:49,1,320.97
164,7042,Returned,F,2023-01-06 12:02:11,2023-01-16 12:02:11,2023-01-09 12:02:11,2023-01-15 12:02:11,1,136.92
165,9395,Returned,M,2023-10-12 21:03:17,2023-11-10 21:03:17,2023-10-13 21:03:17,2023-10-20 21:03:17,1,328.3
166,6859,Complete,F,2022-06-20 23:17:37,,2022-06-22 23:17:37,2022-06-29 23:17:37,1,18.17
167,3316,Complete,F,2023-12-11 20:10:14,,2023-12-12 20:10:14,2023-12-15 20:10:14,5,1136.29
168,7811,Complete,F,2023-12-18 20:21:29,,2023-12-19 20:21:29,2023-12-26 20:21:29,1,386.96
169,1353,Complete,M,2021-11-16 15:12:57,,2021-11-17 15:12:57,2021-11-21 15:12:57,2,358.99
170,4709,Complete,F,2023-08-25 18:50:45,,2023-08-27 18:50:45,2023-09-03 18:50:45,1,325.26
171,3483,Cancelled,M,2024-07-04 11:00:58,,,,3,726.36
172,538,Complete,F,2023-10-03 19:27:59,,2023-10-04 19:27:59,2023-10-06 19:27:59,3,564.97
173,6606,Shipped,F,2022-02-19 15:08:11,,2022-02-21 15:08:11,2022-02-24 15:08:11,1,339.76
174,4993,Complete,M,2023-04-01 19:03:07,,2023-04-02 19:03:07,2023-04-09 19:03:07,1,105.49
175,7724,Complete,M,2020-12-11 03:41:27,,2020-12-12 03:41:27,2020-12-16 03:41:27,1,124.52
176,40,Complete,F,2023-10-28 00:18:39,,2023-10-31 00:18:39,2023-11-07 00:18:39,4,1064.31
177,3759,Complete,F,2024-05-28 04:29:27,,2024-05-31 04:29:27,2024-06-06 04:29:27,1,38.47
178,9669,Complete,F,2023-12-01 08:27:19,,2023-12-04 08:27:19,2023-12-06 08:27:19,1,113.49
179,1287,Complete,M,2024-05-06 21:55:01,,2024-05-09 21:55:01,2024-05-12 21:55:01,1,182.51
180,2503,Cancelled,F,2022-08-10 14:46:20,,,,2,781.26
181,9520,Complete,F,2023-08-07 09:22:54,,2023-08-10 09:22:54,2023-08-12 09:22:54,1,288.43
182,5784,Returned,F,2024-03-02 08:49:33,2024-03-17 08:49:33,2024-03-04 08:49:33,2024-03-11 08:49:33,2,934.36
183,3560,Returned,M,2024-03-08 05:00:39,2024-04-01 05:00:39,2024-03-10 05:00:39,2024-03-12 05:00:39,1,578.44
184,8946,Complete,F,2023-05-07 13:48:02,,2023-05-09 13:48:02,2023-05-12 13:48:02,4,1477.24
185,5017,Complete,F,2022-06-17 01:47:07,,2022-06-18 01:47:07,2022-06-25 01:47:07,3,539.77
186,775,Complete,M,2024-03-13 05:36:44,,2024-03-16 05:36:44,2024-03-18 05:36:44,1,380.65
187,5460,Returned,F,2024-08-31 18:58:56,2024-09-15 18:58:56,2024-09-03 18:58:56,2024-09-07 18:58:56,2,853.49
188,1610,Complete,M,2022-09-22 04:19:50,,2022-09-25 04:19:50,2022-09-28 04:19:50,6,1754.17
189,3008,Shipped,M,2023-08-17 19:50:25,,2023-08-18 19:50:25,2023-08-22 19:50:25,4,1008.54
190,4492,Complete,F,2024-11-15 02:15:04,,2024-11-16 02:15:04,2024-11-20 02:15:04,2,620.65
191,6220,Complete,F,2021-09-03 09:43:00,,2021-09-05 09:43:00,2021-09-07 09:43:00,4,958.99
192,3291,Complete,F,2021-07-18 03:15:47,,2021-07-19 03:15:47,2021-07-23 03:15:47,1,213.6
193,7748,Complete,F,2021-05-15 20:26:20,,2021-05-16 20:26:20,2021-05-18 20:26:20,4,1337.03
194,5293,Complete,M,2023-12-10 05:52:26,,2023-12-13 05:52:26,2023-12-15 05:52:26,1,518.1
195,7577,Returned,F,2021-09-05 00:38:28,2021-09-22 00:38:28,2021-09-08 00:38:28,2021-09-12 00:38:28,1,658.21
196,1490,Processing,F,2022-10-25 06:43:02,,,,1,463.05
197,7873,Returned,F,2021-10-31 08:06:22,2021-12-03 08:06:22,2021-11-01 08:06:22,2021-11-03 08:06:22,1,61.78
198,4874,Complete,F,2023-03-12 09:40:54,,2023-03-15 09:40:54,2023-03-21 09:40:54,1,451.59
199,6568,Complete,F,2023-03-27 03:25:07,,2023-03-28 03:25:07,2023-03-30 03:25:07,1,350.59
200,3765,Returned,F,2021-10-21 09:36:06,2021-11-05 09:36:06,2021-10-24 09:36:06,2021-10-31 09:36:06,2,268.97
201,7461,Complete,F,2023-10-29 17:26:11,,2023-10-31 17:26:11,2023-11-04 17:26:11,1,219.32
202,8643,Cancelled,F,2024-07-26 13:03:55,,,,3,686.03
203,3112,Returned,M,2022-02-12 21:24:16,2022-03-14 21:24:16,2022-02-15 21:24:16,2022-02-21 21:24:16,4,1200.35
204,1945,Complete,F,2023-06-03 20:40:33,,2023-06-05 20:40:33,2023-06-11 20:40:33,3,393.84
205,4837,Returned,F,2024-10-02 03:33:10,2024-11-06 03:33:10,2024-10-05 03:33:10,2024-10-12 03:33:10,3,888.4
206,8042,Complete,F,2023-07-01 22:44:20,,2023-07-03 22:44:20,2023-07-10 22:44:20,1,378.83
207,2569,Complete,M,2024-06-08 09:13:38,,2024-06-09 09:13:38,2024-06-12 09:13:38,3,936.3
208,9548,Complete,M,2024-09-08 07:50:27,,2024-09-10 07:50:27,2024-09-13 07:50:27,2,651.01
209,5556,Complete,M,2023-11-18 03:44:20,,2023-11-20 03:44:20,2023-11-24 03:44:20,1,467.77
210,6618,Complete,M,2024-04-12 00:12:07,,2024-04-13 00:12:07,2024-04-17 00:12:07,1,420.69
211,6949,Complete,F,2024-06-24 03:35:10,,2024-06-27 03:35:10,2024-06-30 03:35:10,2,413.3
212,8880,Complete,M,2024-08-13 07:24:36,,2024-08-15 07:24:36,2024-08-20 07:24:36,3,825.65
213,4992,Complete,M,2024-10-16 14:49:46,,2024-10-17 14:49:46,2024-10-19 14:49:46,3,837.7
214,5565,Complete,F,2023-11-15 20:33:18,,2023-11-18 20:33:18,2023-11-23 20:33:18,5,1117.52
215,7095,Shipped,F,2021-03-04 16:06:18,,2021-03-05 16:06:18,2021-03-09 16:06:18,3,822.72
216,140,Cancelled,F,2023-05-27 09:58:57,,,,2,770.53
217,9148,Complete,F,2023-12-09 16:26:04,,2023-12-12 16:26:04,2023-12-15 16:26:04,3,901.41
218,3031,Complete,M,2023-12-25 12:26:04,,2023-12-26 12:26:04,2023-12-30 12:26:04,4,1197.58
219,3742,Complete,M,2024-08-09 14:21:46,,2024-08-12 14:21:46,2024-08-14 14:21:46,2,106.22
220,3576,Returned,F,2024-01-01 01:04:09,2024-01-08 01:04:09,2024-01-03 01:04:09,2024-01-06 01:04:09,1,99.55
221,8338,Complete,M,2022-08-29 22:45:40,,2022-08-30 22:45:40,2022-09-04 22:45:40,1,13.63
222,7968,Cancelled,F,2024-06-16 09:40:58,,,,1,535.28
223,788,Complete,F,2023-03-13 22:12:05,,2023-03-15 22:12:05,2023-03-18 22:12:05,2,485.55
224,8494,Complete,F,2023-05-11 21:05:36,,2023-05-13 21:05:36,2023-05-18 21:05:36,2,658.14
225,2150,Complete,F,2022-05-09 04:43:39,,2022-05-10 04:43:39,2022-05-17 04:43:39,1,294.97
226,6061,Complete,F,2024-01-21 09:36:41,,2024-01-23 09:36:41,2024-01-28 09:36:41,1,591.72
227,7308,Complete,F,2022-07-11 23:55:16,,2022-07-13 23:55:16,2022-07-19 23:55:16,3,474.86
228,8833,Complete,F,2021-05-10 02:13:33,,2021-05-11 02:13:33,2021-05-18 02:13:33,1,104.56
229,9674,Returned,M,2024-08-03 22:46:21,2024-08-24 22:46:21,2024-08-05 22:46:21,2024-08-07 22:46:21,2,349.36
230,9837,Complete,F,2023-01-17 23:46:23,,2023-01-20 23:46:23,2023-01-25 23:46:23,3,241.44
231,6768,Complete,F,2023-11-01 01:10:12,,2023-11-04 01:10:12,2023-11-09 01:10:12,1,35.13
232,4918,Processing,F,2024-04-29 02:17:12,,,,1,106.39
233,1183,Complete,F,2024-07-16 11:14:39,,2024-07-18 11:14:39,2024-07-21 11:14:39,2,565.18
234,2532,Complete,M,2023-10-02 11:28:11,,2023-10-03 11:28:11,2023-10-09 11:28:11,4,1648.88
235,9763,Cancelled,F,2023-11-09 01:08:48,,,,3,640.14
236,7802,Complete,F,2024-02-13 05:05:04,,2024-02-15 05:05:04,2024-02-20 05:05:04,4,1203.25
237,3466,Processing,M,2024-12-04 20:36:31,,,,1,298.6
238,3423,Complete,F,2022-11-22 06:11:56,,2022-11-23 06:11:56,2022-11-26 06:11:56,1,463.23
239,9273,Shipped,F,2023-04-11 07:50:01,,2023-04-14 07:50:01,2023-04-19 07:50:01,3,853.59
240,9340,Complete,F,2024-12-16 10:35:46,,2024-12-19 10:35:46,2024-12-26 10:35:46,1,38.14
241,5042,Complete,F,2024-03-05 02:52:10,,2024-03-07 02:52:10,2024-03-10 02:52:10,2,626.49
242,7501,Complete,F,2024-06-13 20:00:45,,2024-06-15 20:00:45,2024-06-20 20:00:45,1,191.2
243,8146,Complete,M,2024-01-27 01:56:33,,2024-01-28 01:56:33,2024-02-04 01:56:33,2,395.74
244,2748,Complete,M,2021-11-24 20:03:46,,2021-11-27 20:03:46,2021-12-01 20:03:46,2,826.79
245,2439,Processing,F,2023-10-19 10:54:27,,,,1,394.12
246,5911,Complete,F,2024-03-24 09:06:39,,2024-03-27 09:06:39,2024-04-03 09:06:39,5,1072.47
247,2817,Complete,M,2020-03-27 02:36:10,,2020-03-30 02:36:10,2020-04-04 02:36:10,1,59.0
248,3422,Complete,M,2023-09-15 23:22:12,,2023-09-17 23:22:12,2023-09-21 23:22:12,2,418.95
249,2449,Complete,M,2024-03-20 18:40:07,,2024-03-21 18:40:07,2024-03-28 18:40:07,1,100.83
250,1833,Complete,F,2021-04-25 16:21:28,,2021-04-26 16:21:28,2021-05-02 16:21:28,2,987.31
251,1437,Complete,M,2022-08-17 21:47:25,,2022-08-18 21:47:25,2022-08-21 21:47:25,3,696.89
252,9295,Complete,M,2024-02-16 14:15:07,,2024-02-18 14:15:07,2024-02-23 14:15:07,1,337.47
